purchase_order_id,shipment_id,container_id,product_id,consignee_company_id,supplier_company_id,purchase_order_created_date,purchase_order_requested_cargo_ready_date,purchase_order_requested_delivery_date,booking_created_date,booking_cargo_ready_date,purchase_order_sku_count,purchase_order_sku_price,booking_sku_count,shipped_sku_count,shipped_sku_price
11558,399898,,1744584,656536,668570,2018-08-16 11:25:53.512329,2018-08-31,2018-09-20,2018-08-27 09:13:06.815752,2018-08-31,10,54.04,10,,
46985,587517,,582593,546609,631676,2019-08-27 02:01:32.409087,2019-08-20,2019-09-17,2019-07-31 09:51:57.001578,2019-08-15,378,41.03,378,,
44671,599874,,3311070,656536,668631,2019-06-20 09:14:51.438251,2019-08-30,2019-10-17,2019-08-19 08:14:31.048011,2019-09-02,571,11.47,571,,
35662,613780,,2991033,656536,702454,2019-05-14 07:50:11.093621,2019-08-27,2019-10-08,2019-09-06 04:25:52.964306,2019-09-12,571,27.94,571,,
10720,342581,,1658354,656536,668631,2018-06-20 13:55:49.48351,2018-07-24,2018-08-07,2018-07-12 03:14:45.853888,2018-07-24,44,18.29,44,,
4254,122033,,211588,546609,639361,2019-06-09 20:35:10.683981,2017-11-06,2017-12-18,2017-10-17 03:53:55.659924,2017-11-06,4393,1.75,4393,4393,1.75
9003,264215,,949604,546609,639362,2018-08-08 22:09:11.766621,2018-05-05,2018-06-04,2018-04-27 11:51:24.50635,2018-05-05,1098,21.31,1098,1098,21.31
28783,526054,,2855537,656536,668631,2019-03-13 10:38:06.841457,2019-05-10,2019-05-24,2019-04-22 06:34:46.387114,2019-05-10,281,10.31,281,,
42738,570285,,3177882,730503,751018,2019-06-20 20:06:43.892356,2019-07-22,2019-09-08,2019-07-04 03:45:38.404264,2019-07-19,700,40.28,700,700,40.28
42812,567231,200546,3177543,730503,751328,2019-06-20 20:06:43.849296,2019-07-05,2019-09-01,2019-06-28 12:55:17.10214,2019-07-01,1372,52.88,1372,2743,52.88
26540,503858,168221,977354,546609,632221,2019-06-12 02:01:18.689561,2019-04-26,2019-06-07,2019-03-13 07:45:00.584579,2019-04-26,4428,3.89,4428,4428,2.90
10689,351108,,1409795,656536,668631,2018-07-09 11:12:20.00345,2018-08-02,2018-08-16,2018-07-19 06:18:33.255088,2018-08-02,49,23.28,49,,
50890,616112,,3481459,730503,751347,2019-07-31 23:55:06.524053,2019-08-26,2019-10-13,2019-09-10 06:36:38.501441,2019-09-10,2400,22.35,2400,,
43381,590950,,2948815,656536,702454,2019-07-19 13:47:27.837588,2019-08-07,2019-09-22,2019-08-06 06:28:17.460432,2019-08-08,399,44.07,399,,
44732,584554,,2869819,656536,668570,2019-06-20 13:21:36.095877,2019-08-02,2019-09-19,2019-07-26 07:20:39.442328,2019-08-01,103,56.29,103,,
34432,546658,182390,1589281,546609,654310,2019-06-11 02:03:41.031684,2019-06-02,2019-07-05,2019-05-27 08:53:49.973606,2019-06-02,659,50.30,659,659,50.30
14648,455080,139314,1063187,546609,639558,2019-01-16 03:02:52.826349,2019-01-12,2019-02-15,2018-11-29 10:26:04.319714,2019-01-12,1164,75.15,1164,1164,57.64
14725,451074,,2248257,656536,668573,2018-11-21 16:11:25.911652,2018-11-25,2018-12-09,2018-11-21 03:06:02.085467,2018-11-26,714,13.80,749,,
42889,582326,211078,3177262,730503,751320,2019-06-20 20:06:42.462203,2019-07-22,2019-09-01,2019-07-23 18:50:50.155677,2019-07-31,6913,10.63,6913,6913,10.63
11207,414093,105751,49125,546609,632222,2018-10-19 18:58:36.618552,,2018-10-22,2018-09-12 10:38:49.010782,2018-09-21,6590,3.09,6590,6590,3.11
45911,565952,,3409906,656536,668561,2019-06-27 07:19:20.763486,2019-07-01,2019-07-15,2019-06-27 05:36:23.793595,2019-07-01,20,19.54,20,,
7583,333390,,1395414,656536,668631,2018-03-01 08:15:28.805648,2018-06-08,2018-07-27,2018-07-04 06:59:03.897603,2018-07-19,25,51.05,25,,
7146,293161,,1384568,656536,668631,2018-06-05 09:08:49.691307,2018-06-09,2018-07-27,2018-05-28 10:16:02.0406,2018-06-09,222,15.80,222,,
13583,441627,,2128006,656536,668561,2018-11-05 14:22:00.102681,2018-10-31,2018-11-06,2018-11-02 02:47:20.677083,2018-11-07,5,25.94,79,,
26406,498265,165071,558068,546609,631676,2019-04-19 02:03:44.861503,2019-04-22,2019-05-24,2019-03-01 02:45:42.116668,2019-04-18,439,37.76,439,439,37.76
42195,559601,201144,3106085,683679,748633,2019-07-16 16:23:06.692313,2019-08-03,2019-09-04,2019-06-21 09:45:00.743054,2019-07-31,1024,,1639,1024,9.37
48685,618209,,3478800,546609,654310,2019-08-27 02:01:39.482506,2019-10-11,2019-11-15,2019-09-12 07:18:24.085642,2019-10-15,879,41.75,879,,
7578,333390,,1395419,656536,668631,2018-05-08 09:01:40.429145,2018-07-15,2018-09-01,2018-07-04 06:59:03.897603,2018-07-19,212,51.05,212,,
6254,234986,,1331598,546609,633726,2018-08-08 22:09:56.306506,2018-04-05,2018-05-11,2018-03-27 08:52:37.936185,2018-04-05,26358,12.51,26358,26358,12.51
13469,419155,,2029906,656536,668561,2018-09-21 07:48:05.807461,2018-09-25,2018-10-09,2018-09-21 09:12:47.047418,2018-09-25,207,15.96,207,,
47684,601714,,3106739,683679,748651,2019-08-28 06:26:20.251185,2019-09-21,2019-10-28,2019-08-21 06:17:16.029512,2019-09-05,1537,11.45,1537,,
10214,318092,,542392,546609,633726,2019-06-09 20:35:11.987851,2018-06-24,2018-07-23,2018-06-21 01:35:01.800445,2018-06-27,17792,4.23,17792,17792,4.23
11643,416539,,1741479,656536,668631,2018-07-23 11:09:19.468143,2018-09-30,2018-10-14,2018-09-18 03:02:51.379609,2018-09-28,931,29.27,931,,
4902,126126,,538622,546609,639365,2018-08-08 22:09:28.604406,2017-11-20,2017-12-22,2017-10-30 09:11:54.495766,2017-11-20,1186,39.30,1186,1186,39.30
12011,433794,,1853514,656536,668561,2018-09-11 12:09:27.16434,2018-10-30,2018-11-07,2018-10-19 02:25:23.112181,2018-10-24,384,27.44,384,,
42218,562235,,3107903,683679,748103,2019-07-16 16:23:06.110923,2019-08-03,2019-08-20,2019-07-05 07:23:57.960477,2019-08-17,533,,533,533,7.84
15098,471243,,1352927,546609,632222,2019-06-09 20:35:10.586952,2019-01-21,2019-02-22,2019-01-02 03:30:02.292907,2019-01-21,10578,8.04,32965,,
31052,535776,,2900363,656536,668561,2019-03-29 09:09:34.338013,2019-05-20,2019-06-03,2019-05-08 08:48:48.285777,2019-05-13,30,18.87,30,,
7577,333390,,1395373,656536,668631,2018-05-08 09:04:00.994668,2018-07-15,2018-09-01,2018-07-04 06:59:03.897603,2018-07-19,15,41.07,15,,
42611,587553,,3177372,730503,751311,2019-08-23 23:52:26.058935,2019-08-27,2019-10-06,2019-07-31 10:54:42.253401,2019-08-16,2469,57.45,2469,,
9340,372158,,1541473,656536,668573,2018-07-30 10:53:46.338029,2018-08-06,2018-09-17,2018-08-06 08:33:32.028219,2018-08-06,39,14.13,39,,
34836,547973,197397,2969568,546609,631676,2019-07-31 02:01:23.021854,2019-07-13,2019-08-16,2019-05-29 03:54:55.51294,2019-07-10,773,35.25,773,773,35.25
39146,569807,,2401274,656536,668660,2019-05-15 08:25:43.617919,2019-07-12,2019-07-26,2019-07-03 11:25:45.162591,2019-07-07,355,30.76,355,,
44997,601042,,3176316,730503,754530,2019-08-14 00:21:41.805366,2019-09-02,2019-11-10,2019-08-20 11:10:54.243997,2019-08-30,411,55.87,411,,
27485,511533,167550,1589324,546609,633728,2019-06-09 20:35:09.294055,2019-04-29,2019-06-14,2019-03-27 07:45:46.838972,2019-04-29,220,119.86,220,220,119.86
9329,333390,,1541308,656536,668631,2018-05-07 08:27:58.338895,2018-07-20,2018-09-06,2018-07-04 06:59:03.897603,2018-07-19,103,47.39,103,,
42165,562984,,3105606,683679,749342,2019-08-12 16:00:23.104042,2019-09-07,2019-09-15,2019-07-30 04:07:45.099178,2019-08-23,820,5.68,128,,
23887,498937,,2486354,656536,668631,2018-12-21 07:16:36.027674,2019-01-14,2019-03-03,2019-03-04 03:53:12.124137,2019-03-04,59,24.94,59,,
12337,440268,,2259067,656536,668631,2018-10-24 08:20:35.465469,2018-11-07,2018-11-21,2018-10-31 01:51:06.26348,2018-11-07,276,20.95,276,,
40674,613780,,2948384,656536,702454,2019-07-19 13:39:38.85004,2019-08-07,2019-09-22,2019-09-06 04:25:52.964306,2019-09-12,177,31.10,177,,
32523,552388,,2390283,656536,702454,2019-04-10 14:35:07.397501,2019-06-10,2019-07-15,2019-06-05 08:24:46.298027,2019-06-15,424,26.94,424,,
51335,614026,,3105329,683679,750660,2019-09-11 22:42:27.902433,2019-10-05,2019-11-28,2019-09-06 09:09:52.709777,2019-09-20,1537,51.39,1537,,
10720,342581,,1658351,656536,668631,2018-06-20 13:55:49.48351,2018-07-24,2018-08-07,2018-07-12 03:14:45.853888,2018-07-24,571,18.29,571,,
53639,602600,,3107780,683679,748415,2019-08-15 22:00:20.822317,2019-11-09,2019-11-20,2019-08-22 03:06:36.369666,2019-09-29,51,245.21,51,51,245.21
46268,570154,,3107643,683679,749086,2019-07-16 16:23:03.930244,2019-08-24,2019-09-20,2019-07-04 01:22:06.466985,2019-08-12,5532,,553,,
46830,570931,,3107508,683679,748103,2019-07-16 16:23:03.494268,2019-09-15,2019-09-15,2019-07-05 07:23:57.960477,2019-08-17,215,,102,215,204.44
49130,595713,,1658107,546609,633726,2019-08-27 02:03:21.383631,2019-09-01,2019-09-30,2019-08-13 04:49:07.082919,2019-09-01,2197,11.26,2197,,
37198,576080,,2933144,656536,668631,2019-05-07 07:03:07.158711,2019-07-29,2019-09-15,2019-07-22 08:07:21.464428,2019-08-05,650,26.27,650,,
9029,310981,,49014,546609,632222,2019-06-09 20:35:12.370721,2018-06-25,2018-07-23,2018-06-29 08:36:19.988394,2018-07-12,10543,2.70,10543,10543,2.69
30901,546372,,2899187,656536,668561,2019-03-28 09:51:38.015388,2019-05-31,2019-06-14,2019-05-27 01:59:00.59406,2019-05-31,39,24.86,39,,
6018,238296,,48839,546609,632222,2018-08-08 22:09:40.150639,2018-04-13,2018-05-18,2018-03-30 06:16:43.749354,2018-04-13,9489,3.11,9489,,
42658,570824,221785,3177443,730503,751322,2019-06-20 20:06:42.433385,2019-08-12,2019-09-22,2019-07-05 04:24:02.804312,2019-08-12,2222,11.69,2222,2222,11.69
30708,524364,171750,1212932,546609,631676,2019-06-09 20:35:09.340535,2019-05-12,2019-06-14,2019-04-18 07:37:00.509349,2019-05-08,659,70.69,659,659,70.71
5113,141284,,1024468,546609,649537,2018-08-08 22:09:54.109458,2018-01-15,2018-02-09,2017-12-20 02:04:59.587622,2018-01-15,1037,22.88,1037,1037,22.88
16228,461822,133437,49084,546609,649537,2019-06-09 20:35:09.705502,2018-12-20,2019-01-25,2018-12-18 07:31:09.971347,2019-01-15,659,88.56,659,659,88.56
51336,614104,,3108048,683679,750660,2019-09-13 19:05:22.542926,2019-10-05,2019-11-22,2019-09-06 10:02:18.884433,2019-09-20,61465,0.90,61465,,
49620,614013,,3105510,683679,748633,2019-08-28 06:30:31.769302,2019-12-10,,2019-09-06 09:03:16.803,2019-09-28,1281,2.80,1281,1281,2.78
42611,587553,,3177367,730503,751311,2019-08-23 23:52:26.058935,2019-08-27,2019-10-06,2019-07-31 10:54:42.253401,2019-08-16,2880,57.45,2880,,
15623,470601,,2355757,656536,668561,2018-10-31 16:24:51.792766,2019-01-04,2019-02-15,2018-12-29 06:47:04.154775,2018-12-29,138,13.80,138,,
48491,586440,222355,3107500,683679,748103,2019-07-17 17:40:26.028071,2019-09-14,2019-10-30,2019-07-30 08:23:23.873934,2019-08-30,154,196.60,154,154,179.90
13576,438280,,2127975,656536,668561,2018-10-24 15:41:15.432418,2018-10-31,2018-11-10,2018-10-26 09:55:02.465265,2018-10-31,59,19.37,59,59,19.37
12029,437538,,1124208,546609,632222,2019-06-09 20:35:14.878986,2018-11-03,2018-12-08,2018-10-25 08:36:26.80479,2018-11-05,6590,25.78,6590,,
18023,457963,134814,661945,546609,631676,2019-01-16 03:05:16.680227,2019-01-14,2019-02-15,2018-12-05 07:15:33.77894,2019-01-02,2109,86.63,2109,2109,86.64
17075,452157,,1664675,656536,668631,2018-11-08 09:08:39.917805,2018-12-03,2018-12-17,2018-11-23 05:36:50.809138,2018-12-01,20,9.15,20,,
3363,105071,,48820,546609,631676,2018-08-08 22:09:44.685819,2017-09-08,2017-10-06,2017-08-14 02:49:44.492678,2017-09-08,672,14.04,672,672,14.04
44948,560781,198940,3177374,730503,754505,2019-06-20 20:06:44.056028,2019-07-22,2019-09-08,2019-06-19 10:14:35.667105,2019-07-08,357,22.14,357,357,22.14
52082,593794,,3107972,683679,749086,2019-08-07 18:00:13.946579,2019-10-05,2019-10-18,2019-08-09 08:05:08.283931,2019-10-11,277,13.12,277,,
10214,318092,,130597,546609,633726,2019-06-09 20:35:11.987851,2018-06-24,2018-07-23,2018-06-21 01:35:01.800445,2018-06-27,6590,4.12,6590,6590,4.12
42721,578902,209209,3176955,730503,751345,2019-06-20 20:06:43.394362,2019-07-30,2019-09-08,2019-07-18 02:19:13.522364,2019-07-21,446,71.46,446,446,71.46
52767,596002,,3481214,730503,754553,2019-09-06 17:37:10.936407,2019-09-10,2019-10-20,2019-08-13 09:38:35.438922,2019-08-31,41,766.57,41,,
43494,599874,,3262960,656536,668631,2019-06-14 08:40:27.62258,2019-08-30,2019-10-17,2019-08-19 08:14:31.048011,2019-09-02,143,10.81,143,,
4454,139439,,1024334,546609,639363,2018-08-08 22:09:31.563935,2017-12-08,2018-01-09,2017-12-13 17:53:40.770013,2017-12-08,2636,2.10,2636,2636,2.10
52744,610055,,3307864,683679,749342,2019-08-15 14:00:23.481245,2019-12-05,2019-12-05,2019-09-02 08:13:56.210176,2019-11-15,15366,7.25,15366,,
42220,562235,,3107543,683679,748103,2019-07-16 16:23:06.071867,2019-08-03,2019-08-20,2019-07-05 07:23:57.960477,2019-08-17,51,,51,51,33.32
46596,570429,,3107959,683679,748415,2019-07-12 20:16:23.478479,2019-09-28,,2019-07-04 07:36:01.416191,2019-08-14,31,,51,31,371.59
7842,336215,,1507860,656536,668631,2018-06-29 11:46:59.487981,2018-07-11,2018-07-25,2018-07-06 10:24:40.088662,2018-07-11,49,20.79,49,,
42631,574592,206419,3177098,730503,751318,2019-06-20 20:06:43.39242,2019-07-22,2019-09-01,2019-07-11 08:20:33.049506,2019-07-22,933,24.09,933,933,24.09
44791,576977,,3177578,730503,754541,2019-07-10 22:23:23.388533,2019-08-15,2019-09-22,2019-07-16 03:11:57.511665,2019-08-13,549,90.95,549,,
43125,576080,,2854298,656536,668631,2019-06-20 13:49:16.462732,2019-07-29,2019-09-15,2019-07-15 02:11:06.073279,2019-07-29,241,19.95,241,,
48696,581874,222184,1063184,546609,633728,2019-09-13 02:02:08.092771,2019-08-30,2019-09-27,2019-07-23 06:38:46.213319,2019-08-30,3668,56.81,3668,3668,56.80
41152,558429,197313,111485,546609,631676,2019-08-15 02:02:02.574967,2019-07-15,2019-08-19,2019-06-15 03:46:40.364603,2019-07-10,439,20.13,439,439,20.12
7326,274676,,1386739,656536,668593,2018-05-16 15:19:36.65102,2018-05-18,2018-06-01,2018-05-09 09:42:40.744206,2018-05-16,74,19.12,74,,
12521,430586,,2027352,656536,668660,2018-08-24 12:02:54.979128,2018-09-21,2018-11-11,2018-10-15 03:49:09.620604,2018-10-24,15,33.26,15,,
42177,555358,205522,3107432,683679,748386,2019-07-16 16:23:06.301518,2019-07-27,2019-09-04,2019-06-11 08:36:05.686676,2019-07-27,128,,2356,128,27.52
7173,312636,,1384923,656536,668403,2018-06-19 06:25:30.310375,2018-06-24,2018-07-08,2018-06-15 06:57:22.709711,2018-06-21,414,30.93,414,,
9029,310981,,48839,546609,632222,2019-06-09 20:35:12.370721,2018-06-25,2018-07-23,2018-06-29 08:36:19.988394,2018-07-12,20428,3.11,20428,20428,3.11
54564,608857,,3106171,683679,735137,2019-08-26 16:00:16.852694,2019-10-26,2019-11-21,2019-08-30 05:47:07.433845,2019-10-23,1296,131.37,1296,,
7563,293161,,1395359,656536,668631,2018-03-01 07:52:57.555671,2018-06-16,2018-07-27,2018-05-28 10:16:02.0406,2018-06-09,49,33.92,49,,
29775,507085,,1589399,546609,639363,2019-06-09 20:35:09.441255,2019-04-12,2019-05-17,2019-03-19 12:23:31.823447,2019-04-12,15296,91.07,9884,,
16819,478384,,2390253,656536,702454,2018-11-07 13:12:33.6911,2019-01-25,2019-03-01,2019-01-14 11:37:53.42441,2019-01-26,394,22.53,394,,
20169,457973,136690,48955,546609,631676,2019-01-16 03:01:51.319023,2019-01-14,2019-02-15,2018-12-05 07:24:23.334423,2019-01-07,659,59.90,659,659,59.91
9136,377622,,1510590,656536,668561,2018-07-31 11:20:09.098481,2018-08-24,2018-09-07,2018-08-16 05:30:37.823894,2018-08-16,10,15.05,10,,
46593,570429,,3107284,683679,748415,2019-07-16 16:23:04.998366,2019-09-28,,2019-07-04 07:36:01.416191,2019-08-14,51,,51,51,47.28
48487,586440,222360,3108061,683679,748103,2019-07-17 17:40:32.335792,2019-09-14,2019-11-07,2019-07-30 08:23:23.873934,2019-08-30,154,26.07,154,154,23.83
30028,529338,,2867305,656536,668403,2019-05-08 12:02:32.735629,2019-04-29,2019-05-07,2019-04-26 05:31:29.501193,2019-04-29,94,16.55,103,,
16824,478384,,2390276,656536,702454,2018-11-07 13:13:50.904929,2019-01-25,2019-03-01,2019-01-14 11:37:53.42441,2019-01-26,246,31.84,246,,
15521,470601,,2355364,656536,668561,2018-11-01 07:32:40.949874,2019-01-04,2019-02-15,2018-12-29 06:47:04.154775,2018-12-29,453,14.72,453,,
32062,527134,,2921615,656536,702454,2019-04-23 09:43:36.48801,2019-04-26,2019-05-06,2019-04-23 13:20:00.838772,2019-04-23,291,14.13,291,,
8067,300814,,49008,546609,632222,2018-08-08 22:09:11.180372,2018-06-22,2018-07-27,2018-06-05 06:44:38.856346,2018-06-18,22009,4.68,22009,22009,4.68
7607,263743,,1395595,656536,668631,2018-03-01 09:01:12.52421,2018-04-26,2018-05-09,2018-04-27 01:16:27.041742,2018-04-27,320,19.95,320,,
42746,586362,209656,3176559,730503,751332,2019-07-31 23:55:08.057626,2019-08-05,2019-10-06,2019-07-30 06:39:43.95572,2019-07-31,10699,7.77,10699,10699,7.77
16221,465125,,2365045,546609,649537,2019-06-09 20:35:10.330893,2019-01-15,2019-02-22,2018-12-18 07:31:09.971347,2019-01-15,19878,0.17,19878,,
35278,527825,,2987575,656536,702454,2019-04-24 08:00:52.482918,2019-04-30,2019-06-04,2019-04-30 02:55:44.115661,2019-05-10,128,28.77,128,,
49233,596668,,1382185,546609,639558,2019-09-04 02:01:48.64361,2019-09-10,2019-10-22,2019-08-14 03:14:41.025996,2019-09-03,37,0.00,2,,
9790,394185,,1529991,656536,668660,2018-08-14 06:35:42.320737,2018-08-15,2018-08-29,2018-08-22 09:09:57.243266,2018-08-22,138,20.79,138,,
46268,570154,,3106294,683679,749086,2019-07-16 16:23:03.930244,2019-08-24,2019-09-20,2019-07-04 01:22:06.466985,2019-08-12,2213,,2213,2213,45.36
7091,266982,,1383499,656536,668631,2018-03-22 07:58:15.907544,2018-05-13,2018-06-25,2018-05-02 02:56:09.087585,2018-05-12,84,12.47,84,,
9619,316842,,1571164,678526,678629,2018-05-16 23:12:59.063836,2018-06-29,,2018-06-20 06:42:31.170252,2018-06-29,2208,11.67,540,,
38420,551305,,3058420,656536,668561,2019-05-10 09:43:41.723092,2019-06-03,2019-07-01,2019-06-04 05:54:14.316972,2019-06-10,296,20.37,296,,
46827,570931,,3107090,683679,748103,2019-07-12 19:37:12.039121,2019-09-15,2019-09-15,2019-07-05 07:23:57.960477,2019-08-17,512,,51,512,15.60
17574,453427,,1161567,546609,632221,2019-06-09 20:35:09.618179,2019-01-15,2019-02-14,2018-11-27 02:06:18.037766,2019-01-08,6590,2.77,6590,,
4256,121492,,959482,546609,633728,2019-06-09 20:35:11.115627,2017-11-13,2017-12-08,2017-10-14 02:04:29.558886,2017-11-13,712,56.42,712,712,56.42
13485,455051,,2123972,656536,668631,2018-09-21 10:22:29.978643,2018-12-06,2018-12-20,2018-11-29 09:30:21.067677,2018-12-06,197,33.26,197,,
15746,474941,,2362833,656536,702454,2018-11-01 12:33:55.516461,2019-01-12,2019-02-16,2019-01-08 10:18:11.643048,2019-01-14,99,12.47,99,,
42747,573781,,3177806,730503,751345,2019-06-20 20:06:44.072094,2019-07-22,2019-09-08,2019-07-10 09:24:51.605908,2019-07-17,2057,33.78,2057,2057,33.78
8184,270942,,539611,546609,633729,2018-08-08 22:08:43.179955,2018-05-14,2018-06-25,2018-05-05 06:13:20.622154,2018-05-14,2645,6.60,2645,2645,6.60
5100,146374,,1024489,546609,639363,2018-08-08 22:09:54.275402,2018-01-15,2018-02-09,2018-01-09 13:47:53.857039,2018-01-15,3277,22.53,3277,3277,22.53
9619,316869,,1571165,678526,678629,2018-05-16 23:12:59.063836,2018-06-29,,2018-06-20 06:42:31.170252,2018-06-29,1251,11.67,276,,
42177,555358,205522,3107056,683679,748386,2019-07-16 16:23:06.301518,2019-07-27,2019-09-04,2019-06-11 08:36:05.686676,2019-07-27,102,,768,102,102.40
26160,576413,,2719584,656536,668570,2019-05-07 09:28:21.423338,2019-08-22,2019-10-03,2019-07-15 08:51:32.782025,2019-07-24,148,35.75,148,,
46837,579004,228569,3105874,683679,749342,2019-07-16 16:23:04.826758,2019-09-28,2019-10-26,2019-09-06 09:03:16.803,2019-09-28,1383,,1383,1383,53.71
30504,576080,,2871179,656536,668631,2019-05-13 06:22:32.401892,2019-07-27,2019-09-13,2019-07-15 02:11:06.073279,2019-07-29,394,45.40,394,,
33463,524393,176884,1024338,546609,631676,2019-06-11 02:03:39.530991,2019-05-26,2019-06-28,2019-04-18 07:52:34.151396,2019-05-22,1142,35.74,1142,1142,35.74
