shipment_id,container_id,container_type,container_size,volume_cbm,weight_kg,container_utilization
549533,184068,Dry,40 ft,49.34,5050,0.7342
157120,56440,Dry,40 ft,36.66,4915.16,0.5455
490291,149075,Dry,40 ft,43,6812,0.6399
421115,112539,Dry,40 ft HC,67.82,18225.3,0.8935
553241,187572,Dry,40 ft,42.58,8948,0.6336
364459,91160,Dry,20 ft,26.03,5420.2,0.7936
145139,62354,Dry,40 ft HC,63.95,6470,0.8426
455031,130387,Dry,20 ft,13.4,4051.65,0.4085
318584,89228,Dry,40 ft HC,65.22,4941.8,0.8593
457343,138014,Dry,40 ft HC,63.93,4287.4,0.8423
439633,120763,Dry,20 ft,27.917,1514.48,0.8511
500921,154516,Dry,40 ft HC,69.22,6094.85,0.912
580627,209038,Dry,40 ft HC,56.66,5992.99,0.7465
556183,190815,Dry,45 ft HC,70.16,13170.66,0.8149
346767,88221,Dry,45 ft HC,28,25934,0.3252
504710,158147,Dry,40 ft HC,63.283,7789,0.8338
590896,212984,Dry,40 ft,44.16,6812,0.6571
120608,42087,Dry,40 ft HC,67.81,7286,0.8934
484432,149758,Dry,45 ft HC,36,24774,0.4181
494549,32198,Dry,40 ft HC,65.272,6795.5,0.86
382218,114287,Dry,45 ft HC,35,24235,0.4065
293111,79391,Dry,40 ft,50.364,1330,0.7495
511432,167603,Dry,40 ft,55.723,6709.4,0.8292
231205,66476,Dry,40 ft,54.28,2752,0.8077
416749,109121,Dry,40 ft,50.15,1336,0.7463
536496,178407,Dry,40 ft,57.34,7036.84,0.8533
511565,176002,Dry,40 ft HC,69.47,6760,0.9153
114497,39095,Dry,40 ft HC,63.78,9287.64,0.8403
476978,141747,Dry,40 ft,43.6,3168,0.6488
541435,184657,Dry,40 ft,53.42,6083.78,0.7949
416771,109558,Dry,40 ft,32.8,8800,0.4881
563036,27708,Dry,40 ft HC,63.206,7767.55,0.8328
604842,61333,Dry,40 ft,38.52,10520,0.5732
457982,130943,Dry,40 ft HC,65.28,5967.5,0.8601
533699,179748,Dry,40 ft,30.54,6491.1,0.4545
234995,64254,Dry,40 ft HC,59.615,13200.95,0.7854
465125,142273,Dry,40 ft HC,63.86,9209,0.8414
333360,85624,Dry,40 ft,36.66,5772.4,0.5455
566187,206005,Dry,40 ft,55.07,6123.49,0.8195
591954,226155,Dry,40 ft,53.831,5456.6,0.8011
254652,69529,Dry,40 ft,37.046,7971.86,0.5513
578106,205534,Dry,20 ft,12.75,3157.5,0.3887
277200,74498,Dry,20 ft,22.34,613.53,0.6811
122057,42993,Dry,20 ft,23.896,9615.15,0.7285
105784,36857,Dry,40 ft HC,63.9,5052.8,0.8419
409099,110986,Dry,40 ft HC,66.86,9210,0.8809
524395,176889,Dry,40 ft HC,64.76,6436.5,0.8532
253376,68305,Dry,20 ft,15.7,3920,0.4787
398678,99838,Dry,40 ft,36.66,5688.88,0.5455
68742,18659,Dry,20 ft,21.3,4200,0.6494
525103,174061,Dry,40 ft HC,68.16,18363.25,0.898
302381,80182,Dry,40 ft,43.12,7952,0.6417
561201,192191,Dry,40 ft HC,65,19057.6,0.8564
445348,132739,Dry,40 ft HC,68.16,4870,0.898
554065,192590,Dry,20 ft,13.344,2991.04,0.4068
438912,118709,Dry,40 ft,46.47,6771.3,0.6915
536496,178414,Dry,40 ft,54.07,7207,0.8046
587047,214749,Dry,40 ft,56.7,8525,0.8438
409090,109355,Dry,40 ft HC,65.64,9758,0.8648
62128,15906,Dry,20 ft,13,17720,0.3963
498290,153577,Dry,40 ft,40.53,11580,0.6031
582529,213895,Dry,40 ft HC,70.53,10147.5,0.9292
520518,173701,Dry,40 ft HC,57.48,5377.2,0.7573
598671,229578,Dry,40 ft,54.814,5415.13,0.8157
251338,74414,Dry,40 ft HC,64.59,4841,0.851
583670,210558,Dry,40 ft,20.1,5824.9,0.2991
462225,133619,Dry,45 ft HC,37,24752,0.4297
504440,79232,Dry,40 ft HC,60.89,4882.4,0.8022
451870,132738,Dry,40 ft,50.61,5095,0.7531
563035,199684,Dry,40 ft HC,63.237,7390.15,0.8332
358141,92387,Dry,40 ft HC,52.063,5897.8,0.6859
562100,196527,Dry,20 ft,17.07,3120.6,0.5204
144015,53099,Dry,40 ft,30.165,4053.08,0.4489
493256,149019,Dry,40 ft,31.494,5371.2,0.4687
120132,43695,Dry,40 ft HC,63.27,4763.4,0.8336
457297,132440,Dry,40 ft HC,62.94,7153.9,0.8292
563984,202120,Dry,40 ft HC,53.072,5722.83,0.6992
298990,78102,Dry,40 ft,30.86,2190,0.4592
549749,184750,Dry,40 ft HC,65,1988,0.8564
349466,91623,Dry,20 ft,14.8,3513.8,0.4512
411490,106751,Dry,40 ft,45.288,7790,0.6739
397248,97811,Dry,40 ft,36.66,5688.88,0.5455
550533,184549,Dry,20 ft,8.04,805.3,0.2451
254722,69517,Dry,40 ft,33.2,8462.4,0.494
317274,82820,Dry,45 ft HC,31.25,6682,0.363
328638,85213,Dry,40 ft HC,57.25,4430.18,0.7543
155735,56686,Dry,40 ft,33.12,4712.54,0.4929
546288,186867,Dry,40 ft,51.235,5614.24,0.7624
566819,192268,Dry,20 ft,27,17690,0.8232
527781,171447,Dry,40 ft,44.6,4940,0.6637
308354,80613,Dry,40 ft,36.66,5772.4,0.5455
525118,179955,Dry,40 ft HC,69.14,16926.83,0.9109
581868,222202,Dry,40 ft HC,64.44,5070,0.849
474835,138178,Dry,20 ft,24.94,2280.9,0.7604
595892,217678,Dry,20 ft,26.04,2419.95,0.7939
133411,47686,Dry,40 ft HC,58.978,15510.38,0.777
457283,137503,Dry,40 ft HC,64.33,4422,0.8476
583525,217220,Dry,40 ft,65.37,6739.5,0.9728
468929,140752,Dry,45 ft HC,73.02,10183,0.8481
540872,181435,Dry,40 ft,52.164,4103.76,0.7763
429622,113924,Dry,40 ft,40.392,4568.9,0.6011
335719,85894,Dry,40 ft,43.12,7952,0.6417
506239,160166,Dry,40 ft HC,69.732,9114.3,0.9187
567037,199747,Dry,40 ft,55.12,8136,0.8202
557649,199121,Dry,40 ft,51.724,6318.55,0.7697
121488,42693,Dry,40 ft HC,64.08,7461.5,0.8443
560720,205899,Dry,40 ft HC,53.28,4202.86,0.702
547930,189462,Dry,40 ft,51.98,5658.16,0.7735
295170,59663,Dry,40 ft,29.33,3914,0.4365
238939,72720,Dry,45 ft HC,36,25095,0.4181
327016,84097,Dry,40 ft,27.64,2900,0.4113
349541,96720,Dry,40 ft HC,64.99,5794,0.8563
362328,102309,Dry,40 ft HC,64.21,6393,0.846
275540,73321,Dry,20 ft,20.284,3482.66,0.6184
279988,75830,Dry,40 ft,31.302,8343.1,0.4658
294828,79317,Dry,40 ft,38.22,4371.38,0.5688
523656,164764,Dry,40 ft HC,59.82,2877.6,0.7881
382218,114276,Dry,45 ft HC,35,24182,0.4065
510625,160962,Dry,20 ft,24.76,2245.3,0.7549
45943,10077,Dry,40 ft,31.63,2316.7,0.4707
520515,171930,Dry,40 ft,50.219,4967.46,0.7473
588877,218257,Dry,40 ft HC,63.25,16790,0.8333
457970,131422,Dry,20 ft,20.57,1346.8,0.6271
602794,226368,Dry,40 ft HC,62.978,11737.44,0.8297
598693,228440,Dry,40 ft HC,63.14,6522.01,0.8319
99518,31506,Dry,40 ft,40.515,7212.8,0.6029
280476,76306,Dry,40 ft,17.2,1989,0.256
598472,223354,Dry,40 ft HC,64.03,8937.74,0.8436
475687,143865,Dry,20 ft,20.78,6539.35,0.6335
325262,84157,Dry,40 ft,31.68,4856.06,0.4714
474029,142327,Dry,40 ft,46.83,3827,0.6969
475574,140290,Dry,40 ft,24.48,3335.38,0.3643
457907,132338,Dry,40 ft,34.734,3719,0.5169
567231,200547,Dry,40 ft HC,65.636,6286.2,0.8648
520509,171095,Dry,40 ft HC,63.548,6437.62,0.8373
566187,206006,Dry,40 ft,53.739,6171.47,0.7997
520518,173706,Dry,40 ft HC,63.012,8189.2,0.8302
597801,220057,Dry,45 ft HC,73.278,6802.85,0.8511
391987,97739,Dry,40 ft,27.64,2900,0.4113
451905,132053,Dry,40 ft HC,65.16,8085.2,0.8585
238298,69161,Dry,40 ft HC,67.86,6070.77,0.8941
510689,166539,Dry,20 ft,23.05,6071.63,0.7027
592908,224314,Dry,40 ft,59.42,5414.12,0.8842
536496,178409,Dry,40 ft,57.34,7036.84,0.8533
458508,128299,Dry,20 ft,24.244,4271.2,0.7391
591860,223034,Dry,40 ft,52.615,6310.55,0.783
462225,133621,Dry,45 ft HC,37,24810,0.4297
436386,134728,Dry,45 ft HC,39,22886,0.453
474029,142328,Dry,40 ft,32.89,2562.3,0.4894
472289,139370,Dry,40 ft HC,41.8,4670.6,0.5507
110574,40893,Dry,40 ft HC,64.66,4086.6,0.8519
287094,76595,Dry,40 ft,31.775,7890.85,0.4728
598616,229910,Dry,40 ft HC,59.46,6371.31,0.7834
239266,66409,Dry,40 ft,36.66,5772.4,0.5455
571458,211700,Dry,40 ft HC,52.054,5404.12,0.6858
50042,11898,Dry,45 ft HC,74.7,12550.4,0.8676
591954,226154,Dry,40 ft,53.019,5997.16,0.789
546287,186818,Dry,40 ft,55.393,6270.07,0.8243
119395,40690,Dry,40 ft HC,65.85,9122.44,0.8676
595721,217149,Dry,40 ft HC,62.979,11737.44,0.8298
530459,178873,Dry,40 ft HC,67.311,7817,0.8868
492603,154534,Dry,40 ft HC,69.04,20065.22,0.9096
565427,201170,Dry,40 ft HC,54.2,9168.75,0.7141
327036,84274,Dry,40 ft,11.16,2500,0.1661
324435,87685,Dry,45 ft HC,74,49682,0.8595
511540,160632,Dry,40 ft,44.5,6812,0.6622
451936,128395,Dry,40 ft HC,49.091,6709,0.6468
529407,175322,Dry,40 ft,54.984,6880.8,0.8182
399885,98803,Dry,40 ft,33.2,8262.4,0.494
41016,9974,Dry,40 ft HC,66.85,13840,0.8808
358212,92376,Dry,40 ft,48.78,4145.43,0.7259
530364,181703,Dry,40 ft,44.16,6812,0.6571
464950,140571,Dry,40 ft HC,63.91,5260.65,0.842
502507,160199,Dry,40 ft HC,66.68,12201,0.8785
585171,156139,Dry,40 ft HC,62.16,6750.7,0.819
349562,102094,Dry,40 ft HC,63.08,5588,0.8311
595719,217653,Dry,20 ft,16.31,3586.4,0.4973
464564,136525,Dry,40 ft,33.431,900,0.4975
472128,137904,Dry,40 ft,25.92,3478.522,0.3857
546287,186814,Dry,40 ft,57.34,6410.8,0.8533
465933,140821,Dry,40 ft,43,6812,0.6399
254470,51283,Dry,40 ft HC,65.81,7504,0.8671
110309,36131,Dry,40 ft HC,64.7,9923.8,0.8524
562235,206952,Dry,40 ft,42.9,12760,0.6384
496570,155121,Dry,40 ft,51.73,11589.43,0.7698
139999,53542,Dry,20 ft,28.12,5049.6,0.8573
520507,171315,Dry,40 ft,52.456,6114.06,0.7806
508509,160994,Dry,20 ft,20.787,2411.5,0.6338
420564,109449,Dry,40 ft,44.76,4341.44,0.6661
531407,175863,Dry,20 ft,19.6,4176.3,0.5976
447507,127615,Dry,20 ft,28.02,5856,0.8543
597210,222581,Dry,40 ft HC,48.4,4370,0.6377
370026,95780,Dry,20 ft,19.6,1522.75,0.5976
459234,161823,Dry,40 ft HC,67.69,5270,0.8918
520509,171080,Dry,40 ft HC,59.778,6526.78,0.7876
595859,223103,Dry,40 ft HC,60,12336,0.7905
571415,204494,Dry,40 ft HC,66.84,9009,0.8806
589820,215211,Dry,40 ft HC,61.21,9463.5,0.8065
511432,167605,Dry,40 ft HC,64.037,7396.95,0.8437
287089,76866,Dry,20 ft,15.632,3087.43,0.4766
125950,44788,Dry,40 ft HC,62.2,5440.3,0.8195
551258,195831,Dry,40 ft HC,69.23,10680.5,0.9121
239266,66412,Dry,40 ft,36.66,5155.32,0.5455
147976,53605,Dry,40 ft HC,62.58,6970,0.8245
508514,162187,Dry,20 ft,25.746,3238.8,0.7849
299580,23865,Dry,40 ft,49.45,5888,0.7359
324435,87680,Dry,45 ft HC,74,49660,0.8595
333491,88896,Dry,40 ft HC,65.93,9420.05,0.8686
395879,99138,Dry,40 ft HC,63.11,7680,0.8315
347501,25518,Dry,40 ft HC,59.65,5300.4,0.7859
462527,141142,Dry,40 ft HC,63.72,7650,0.8395
277197,74674,Dry,20 ft,21.95,613.53,0.6692
558813,206361,Dry,40 ft HC,67.1,7684.91,0.8841
120702,44261,Dry,20 ft,16.36,1232.8,0.4988
333537,91864,Dry,40 ft HC,65.28,6421,0.8601
601845,229670,Dry,40 ft HC,65,18867.4,0.8564
495705,152643,Dry,40 ft,53,11312,0.7887
570156,214799,Dry,20 ft,7.2,15087,0.2195
393643,98546,Dry,40 ft HC,36.75,9770.55,0.4842
600001,229946,Dry,40 ft HC,67.05,7497.68,0.8834
250078,69378,Dry,40 ft,36.66,5772.4,0.5455
515972,161863,Dry,40 ft,69.732,9114.3,1.0377
382218,114286,Dry,45 ft HC,35,24237,0.4065
492592,151011,Dry,40 ft,48.19,12562.5,0.7171
499631,155509,Dry,40 ft HC,55.02,3071.68,0.7249
524393,176884,Dry,40 ft HC,65.68,6773,0.8653
382218,114282,Dry,45 ft HC,35,24213,0.4065
146385,56059,Dry,40 ft HC,28.72,9245,0.3784
149314,63568,Dry,40 ft HC,62.41,6055,0.8223
559899,193710,Dry,20 ft,28,6800,0.8537
569324,200202,Dry,40 ft HC,54.123,18139,0.7131
230877,63742,Dry,40 ft,33.2,8176,0.494
131011,45784,Dry,20 ft,24.91,2722.5,0.7595
155914,55686,Dry,40 ft HC,42.02,3182.23,0.5536
563036,198744,Dry,40 ft,52.838,6627.65,0.7863
318566,85661,Dry,40 ft HC,65.02,6538.5,0.8567
136471,50614,Dry,40 ft HC,25.62,2205.78,0.3375
300532,81123,Dry,40 ft HC,64.78,14318,0.8535
566180,206081,Dry,40 ft HC,58.968,7520.1,0.7769
588238,223122,Dry,40 ft HC,63.202,7259.24,0.8327
145853,53715,Dry,40 ft,43,3900,0.6399
591959,224473,Dry,40 ft HC,63.439,6808.6,0.8358
95209,30051,Dry,40 ft HC,54.243,8960,0.7147
295170,78222,Dry,40 ft,34.83,4914.925,0.5183
41005,9358,Dry,40 ft HC,60.425,15395.1,0.7961
583533,220735,Dry,40 ft,57.112,8502.7,0.8499
312916,84353,Dry,40 ft,46.389,1240,0.6903
463462,138529,Dry,40 ft HC,68,9235.2,0.8959
141284,52244,Dry,40 ft,55.89,9991,0.8317
512801,161022,Dry,40 ft,44.5,6812,0.6622
575946,201621,Dry,40 ft,36.595,6461.29,0.5446
598452,223363,Dry,40 ft HC,60.37,7140,0.7954
330051,84253,Dry,40 ft HC,62.72,16773.61,0.8264
504704,157593,Dry,40 ft HC,64.145,8205.6,0.8451
212609,60234,Dry,20 ft,19.35,2268,0.5899
595979,219497,Dry,40 ft HC,65,4384,0.8564
586176,219307,Dry,40 ft HC,56.852,5867.28,0.749
230928,64185,Dry,40 ft,40.326,6503.246,0.6001
576406,204583,Dry,40 ft,37,889,0.5506
312916,84354,Dry,40 ft,47.084,1240,0.7007
121558,40997,Dry,20 ft,16.52,1336.45,0.5037
451907,132579,Dry,40 ft HC,65.16,8782.2,0.8585
397272,99824,Dry,40 ft,36.66,5688.88,0.5455
325262,84156,Dry,40 ft,31.68,4515.28,0.4714
76277,21457,Dry,40 ft HC,64.79,6208,0.8536
562984,207151,Dry,40 ft,51.83,9477,0.7713
468897,140811,Dry,20 ft,22.9,4582.52,0.6982
580663,214870,Dry,40 ft HC,58.32,7406.4,0.7684
590896,212985,Dry,20 ft,22.18,3423.55,0.6762
60331,15661,Dry,40 ft HC,66.39,9682.5,0.8747
401674,99594,Dry,40 ft HC,61.72,9427.3,0.8132
446279,128237,Dry,40 ft,53.29,4367.7,0.793
490296,149518,Dry,40 ft,43,6812,0.6399
493848,154822,Dry,40 ft HC,66.38,18367.91,0.8746
452577,5900,Dry,40 ft,51.84,8970.05,0.7714
549744,184723,Dry,40 ft HC,65,2111,0.8564
522806,128183,Dry,20 ft,27.02,2063.36,0.8238
598692,230504,Dry,40 ft HC,60.476,6431.15,0.7968
443215,123685,Dry,40 ft HC,63.201,11817.85,0.8327
583879,219675,Dry,40 ft HC,60.37,7140,0.7954
587043,219315,Dry,40 ft HC,56.894,5961.26,0.7496
563984,202117,Dry,40 ft HC,53.49,4614.5,0.7047
130325,48581,Dry,40 ft HC,44.118,7366.61,0.5813
566176,206017,Dry,40 ft HC,61.48,7701.25,0.81
465150,136819,Dry,20 ft,29.14,5576.65,0.8884
459187,133459,Dry,40 ft HC,52.64,4502.5,0.6935
463566,132468,Dry,20 ft,26.895,4851.23,0.82
587425,216087,Dry,40 ft HC,47.642,6371,0.6277
306668,79309,Dry,40 ft HC,62.77,17923.65,0.827
567868,215270,Dry,40 ft HC,64.676,7350.5,0.8521
125159,42243,Dry,20 ft,22.997,3833.8,0.7011
276980,74177,Dry,40 ft,24.779,6559.88,0.3687
573684,211780,Dry,40 ft HC,62.86,5071.04,0.8282
96318,29787,Dry,20 ft,13.32,1038.65,0.4061
511556,162889,Dry,40 ft,35,5366,0.5208
374835,97074,Dry,45 ft HC,38,25694,0.4413
55998,13806,Dry,20 ft,14.8,2170,0.4512
457962,134905,Dry,40 ft HC,65.12,6990,0.858
456180,138993,Dry,40 ft HC,68.69,14979.04,0.905
359565,94038,Dry,40 ft HC,67.45,15094.8,0.8887
511549,158812,Dry,40 ft,44,6812,0.6548
88179,25911,Dry,40 ft,52.25,6900,0.7775
509852,81041,Dry,40 ft HC,59.959,5895.17,0.79
272834,77341,Dry,40 ft HC,71.18,14683.5,0.9378
456182,141451,Dry,40 ft HC,68.42,16451.16,0.9014
105085,36004,Dry,40 ft,56.61,4473.5,0.8424
341328,87673,Dry,40 ft,36.66,5760.88,0.5455
594697,218354,Dry,20 ft,12.753,2025,0.3888
508349,165012,Dry,40 ft HC,65.44,8820,0.8622
302393,83653,Dry,40 ft HC,64.67,5709,0.852
79364,23817,Dry,20 ft,14.22,2079.05,0.4335
528568,171520,Dry,40 ft,52.515,5246.7,0.7815
449890,126050,Dry,40 ft,42.5,16395.26,0.6324
395278,97954,Dry,20 ft,26.309,7501.2,0.8021
423732,108170,Dry,20 ft,40,2531,1.2195
223249,63494,Dry,40 ft,56.72,11066.86,0.844
555340,190209,Dry,40 ft,48.933,18039,0.7282
55431,13357,Dry,40 ft,49.07,5360,0.7302
585176,218317,Dry,40 ft HC,64.9,6540.5,0.8551
455076,138127,Dry,40 ft HC,66.86,10897,0.8809
590783,218796,Dry,20 ft,11.304,2041,0.3446
106073,34459,Dry,40 ft,55.75,7797,0.8296
553241,187574,Dry,40 ft,42.58,8948,0.6336
297753,79298,Dry,40 ft,26.29,60246.48,0.3912
588052,214656,Dry,20 ft,12.96,2220,0.3951
398684,98524,Dry,40 ft HC,36.66,5700.4,0.483
580658,215066,Dry,40 ft HC,65.52,8092.8,0.8632
227685,62739,Dry,40 ft,46.32,6688.8,0.6893
448109,123693,Dry,40 ft,11.16,2560,0.1661
550569,193452,Dry,40 ft,51.845,5816.42,0.7715
132533,45824,Dry,40 ft,40.51,3341.95,0.6028
565861,205810,Dry,40 ft,52.533,6297.96,0.7817
563057,195848,Dry,40 ft HC,61.8,5960,0.8142
596804,228561,Dry,40 ft HC,66.69,7266,0.8787
494559,153708,Dry,40 ft,53.53,6405.05,0.7966
524367,174121,Dry,40 ft HC,66.37,8946,0.8744
347683,90684,Dry,40 ft,25.48,6030,0.3792
145728,53287,Dry,40 ft,31.4,7840,0.4673
240592,70758,Dry,40 ft HC,64.95,16160.1,0.8557
418472,110632,Dry,40 ft HC,61.96,16680.78,0.8163
538206,180481,Dry,40 ft HC,62.955,11733.26,0.8294
588241,221804,Dry,40 ft,52.202,5947.29,0.7768
504681,158242,Dry,40 ft HC,62.928,7134.1,0.8291
422070,112415,Dry,40 ft HC,61.44,6767,0.8095
520507,171310,Dry,40 ft,53.094,6399.42,0.7901
473019,140782,Dry,20 ft,17.5,5036.2,0.5335
556232,212931,Dry,20 ft,28,7725,0.8537
555288,187825,Dry,40 ft,49.083,18042,0.7304
607987,224271,Dry,40 ft,27.84,4619.2,0.4143
427531,110573,Dry,40 ft,49.68,4880,0.7393
556978,188575,Dry,40 ft HC,59.82,6568,0.7881
520515,171942,Dry,40 ft,55.196,6664.2,0.8214
302339,80208,Dry,40 ft,56.04,6469.9,0.8339
409013,104211,Dry,40 ft HC,65.6,7650,0.8643
419293,112529,Dry,40 ft HC,67.7,18596.8,0.892
76847,22036,Dry,40 ft HC,46.003,4541,0.6061
472741,138025,Dry,40 ft,25.04,2532,0.3726
553256,187523,Dry,40 ft,42.58,8948,0.6336
222189,62816,Dry,40 ft HC,67.53,7320,0.8897
355299,102582,Dry,45 ft HC,34,22863,0.3949
553256,187520,Dry,40 ft,42.58,8948,0.6336
570154,212018,Dry,20 ft,8.76,14885,0.2671
243159,80245,Dry,40 ft HC,68.4,5815,0.9012
519678,167726,Dry,40 ft,44.16,6812,0.6571
563984,202116,Dry,40 ft HC,53.068,5503.97,0.6992
83536,24510,Dry,20 ft,18.7,2977.64,0.5701
536496,178416,Dry,40 ft,53.049,7735.64,0.7894
86878,27237,Dry,20 ft,21.807,4015,0.6648
239266,66410,Dry,40 ft,34.83,6565.196,0.5183
451891,132454,Dry,40 ft HC,62.44,4142,0.8227
529407,175330,Dry,40 ft HC,62.865,7775.39,0.8283
460943,130656,Dry,40 ft,42.978,3283.2,0.6396
477773,143566,Dry,40 ft HC,26.42,4294.96,0.3481
536494,178671,Dry,40 ft HC,51.353,6526.73,0.6766
549533,184069,Dry,40 ft,49.34,5050,0.7342
461124,133140,Dry,40 ft HC,65.4,11330,0.8617
571457,211805,Dry,40 ft HC,63.788,7328.9,0.8404
442419,126280,Dry,40 ft HC,47.96,13546.8,0.6319
598781,38873,Dry,40 ft,52.69,5358.35,0.7841
546286,186756,Dry,40 ft,54.289,5839.84,0.8079
288546,76241,Dry,40 ft,36.66,6047.92,0.5455
131290,46945,Dry,40 ft,39.99,3903.34,0.5951
605140,228498,Dry,20 ft,23.43,2814,0.7143
71242,20075,Dry,40 ft HC,65.6,6375.7,0.8643
295316,79340,Dry,40 ft,36.66,5617.12,0.5455
71242,20076,Dry,40 ft HC,62.8,5559.3,0.8274
598693,227561,Dry,40 ft HC,63.354,6349.32,0.8347
526976,167798,Dry,20 ft,15.06,2974.12,0.4591
555288,187824,Dry,40 ft,49.083,18042,0.7304
381044,95873,Dry,20 ft,23.124,2805.63,0.705
569475,210364,Dry,40 ft,9.69,19328,0.1442
563116,193572,Dry,40 ft,44.16,6812,0.6571
583882,223321,Dry,40 ft HC,60.37,7140,0.7954
451893,132042,Dry,40 ft HC,65,6155,0.8564
493992,154693,Dry,40 ft,48.97,13992.5,0.7287
451895,132050,Dry,40 ft HC,65.13,3180.6,0.8581
545081,181267,Dry,40 ft,46.35,5080,0.6897
541190,181361,Dry,20 ft,12,2280,0.3659
372504,109348,Dry,40 ft HC,67.67,10197.2,0.8916
533210,175608,Dry,40 ft HC,44.215,4372,0.5825
568715,207947,Dry,40 ft HC,63.811,7824.4,0.8407
188916,59814,Dry,40 ft,34.83,4698.8,0.5183
52192,12231,Dry,45 ft HC,73.9,11864.7,0.8583
126017,43713,Dry,20 ft,24.67,1773.8,0.7521
613031,227185,Dry,40 ft HC,70.44,19093.24,0.9281
591899,213510,Dry,20 ft,18.51,3000,0.5643
74667,20877,Dry,40 ft HC,35,4376,0.4611
605967,226815,Dry,40 ft,44.16,6812,0.6571
568685,208900,Dry,40 ft HC,64.875,7423.5,0.8547
602947,222258,Dry,40 ft HC,60.98,10764.4,0.8034
571383,206835,Dry,40 ft HC,64,8880.29,0.8432
601944,217551,Dry,40 ft,54.31,9794.4,0.8082
154482,59183,Dry,40 ft,41.76,5164.78,0.6214
367716,94725,Dry,45 ft HC,55.44,3847.71,0.6439
574345,208725,Dry,40 ft HC,65,4510,0.8564
529394,175367,Dry,20 ft,24.849,2761.02,0.7576
