shipment_id,shipment_created_in_system_date,mode,bco,freight_service,freight_type,incoterms,contains_dangerous_goods,supplier_company_id,consignee_company_id,supplier_lat,supplier_lng,departure_port,arrival_port,inland_port,consignee_final_destination_lat,consignee_final_destination_lng,tradelane,freight_carrier,actual_cargo_ready_date,scheduled_departure_port_departure_date,actual_departure_port_departure_date,scheduled_arrival_port_arrival_date,actual_arrival_port_arrival_date,scheduled_inland_port_arrival_date,actual_inland_port_arrival_date,scheduled_delivery_date,actual_delivery_date,includes_customs,target_net_revenue,estimated_total_cost,actual_total_cost,actual_total_invoice,actual_net_revenue
477669,2019/1/11,Air,f,CFS to CFS,Door to Door,EXW,t,558041,547503,34.8661954,-117.0431926,LAX - Los Angeles - CA,HKG - Hong Kong - Hong Kong,,23.4200324,115.2010734,TPWB,Schreiner Airways,2019/1/14,2019/1/17 20:00,2019/1/17 20:00,2019/1/18 04:00,2019/1/18 04:00,,,2019/1/24 04:00,2019/1/24 04:00,f,1249.66,12496.64,35033.31,11602.75,-23430.56
579966,2019/7/19,Ocean FCL,f,CY to CY,Port to Door,FOB,f,749695,612365,36.85285837,105.1865954,"Shanghai, China","Los Angeles, CA","Chicago, Illinois",40.51389237,-87.18374463,TPEB,Gabon Airlines Cargo,2019/8/10,2019/8/17 16:00,2019/8/19 18:30,2019/8/31 19:00,2019/8/31 07:01,2019/9/9 17:00,2019/9/6 14:47,2019/9/16 12:00,,f,230.2,4603.99,3744.8,4714.43,969.63
604912,2019/8/26,Air,f,CFS to CFS,Port to Door,FOB,f,637012,548254,23.32933388,115.1917379,HKG - Hong Kong - Hong Kong,EWR - Newark - NJ,JFK - New York - NY,41.57794988,-74.72031312,TPEB,KLM Royal Dutch Airlines,2019/9/3,2019/9/6 02:25,2019/9/6 04:00,2019/9/6 17:55,2019/9/7 16:00,2019/9/8 02:30,2019/9/7 16:00,2019/9/13 15:00,2019/9/13 15:00,t,632.84,6455.03,75.99,7091.03,7015.04
451898,2018/11/22,Ocean FCL,f,CY to CY,Port to Port,FOB,f,631676,546609,23.885775,113.872539,"Yantian, China","Los Angeles, CA",,34.882204,-117.066237,TPEB,Air Creebec,2018/12/20,2018/12/27 16:00,2019/1/2 12:00,2019/1/22 15:30,2019/1/23 20:00,,,2019/2/1 20:00,2019/1/29 20:00,t,244.51,2571.96,2136.19,2549.88,413.69
260075,2018/4/24,Air,f,CFS to CFS,Port to Door,FOB,t,598641,543943,23.64627181,115.0092148,HKG - Hong Kong - Hong Kong,LHR - London - United Kingdom,,54.39642081,-2.039933192,FEWB,QFS Transportation,2018/4/26,2018/4/29 05:30,2018/4/28 21:20,2018/4/29 23:00,2018/4/29 23:00,,,2018/5/1 23:00,2018/5/1 23:00,t,73.93,866.21,878.43,879.77,1.34
118715,2017/10/4,Air,f,CFS to CFS,Port to Door,FOB,f,600208,583732,23.30827874,115.1693177,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.97011674,-117.1684523,TPEB,Singapore Airlines Cargo Pte. Ltd.,2017/10/16,2017/10/17 16:00,2017/10/17 20:00,2017/10/18 07:00,2017/10/19 04:54,,,2017/10/20 19:00,2017/10/20 18:24,t,457.6,4676.55,4566.95,5437.44,870.49
420641,2018/9/25,Air,f,CFS to CFS,Port to Door,FOB,f,598234,543943,24.01908838,114.9512944,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.04028138,-116.9597556,TPEB,QFS Transportation,2018/9/26,2018/9/27 17:00,2018/9/27 17:00,2018/9/28 09:10,2018/9/28 09:10,,,2018/10/4 07:00,2018/10/4 07:00,t,2118.22,21535.29,15565.82,21555.62,5989.8
60484,2017/1/4,Ocean FCL,f,CY to CY,Port to Port,FOB,f,631676,546609,23.88919655,113.8815925,"Yantian, China","Los Angeles, CA",,,,TPEB,Singapore Airlines Cargo Pte. Ltd.,2017/1/20,2017/1/23 16:00,2017/1/23 16:00,2017/2/9 08:00,2017/2/9 08:00,,,,,f,184.19,1841.86,1743.26,2026.04,282.78
565054,2019/6/26,Air,f,CFS to CFS,Port to Door,FOB,t,693219,654884,31.91870529,122.4027943,PVG - Shanghai - China,LAX - Los Angeles - CA,,35.24504229,-117.4144007,TPEB,Singapore Airlines Cargo Pte. Ltd.,2019/6/22,2019/6/28 04:00,2019/6/28 04:00,2019/6/28 19:00,2019/6/28 19:00,,,2019/6/29 12:00,2019/6/29 18:00,t,917.78,18761.89,16643.77,18766.98,2123.21
477999,2019/1/14,Air,f,CFS to CFS,Door to Door,EXW,t,719753,719753,32.33863666,122.5770977,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.99673366,-116.5671493,TPEB,QFS Transportation,2019/3/4,,2019/3/5 22:55,2019/3/6 15:10,2019/3/6 15:10,,,2019/3/8 12:00,2019/3/8 04:00,t,51.47,1156.55,1793.25,1142.29,-650.96
81596,2017/4/28,Air,f,CFS to CFS,Port to Door,FCA,f,598641,543943,23.53162662,115.0463956,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.01374162,-117.3924514,TPEB,QFS Transportation,2017/4/29,2017/5/1 04:00,2017/5/1 04:00,2017/5/2 19:00,2017/5/1 19:00,,,2017/5/3 19:00,2017/5/3 16:30,t,938.04,9481.05,9245.41,9481.05,235.64
105071,2017/8/14,Ocean FCL,f,CY to CY,Port to Port,FOB,f,631676,546609,23.88355266,113.8703167,"Yantian, China","Los Angeles, CA",,,,TPEB,Balkan Bulgarian Airlines,2017/9/8,2017/9/12 20:00,2017/9/12 16:00,2017/9/26 23:00,2017/9/26 23:00,,,,,f,193.43,1934.28,1425.26,1934.28,509.02
443215,2018/11/6,Ocean FCL,f,CY to CY,Door to Door,EXW,f,644281,557918,23.73403806,115.1248011,"Yantian, China","Southampton, United Kingdom",,53.26186706,-0.194635937,FEWB,Combimar & Agemar,2018/11/23,2018/12/4 04:00,2018/12/3 23:44,2018/12/29 12:00,2019/1/3 03:41,,,2019/1/17 08:00,2019/1/17 12:00,f,404.81,2825.99,3902.52,5049.71,1147.19
403349,2018/8/29,Ocean FCL,f,CY to CY,Port to Door,FOB,f,695350,654884,36.84936687,105.1831039,"Yantian, China","Long Beach, California",,35.24407487,-117.4153681,TPEB,Combimar & Agemar,2018/8/30,2018/9/11 21:48,2018/9/11 01:30,2018/9/26 11:30,2018/9/26 11:14,,,2018/10/3 19:00,2018/10/3 19:30,t,127.68,2775.72,2536.93,2547.59,10.66
142646,2017/12/26,Air,f,CFS to CFS,Port to Door,FCA,t,598641,543943,23.53070088,115.0454699,HKG - Hong Kong - Hong Kong,AMS - Amsterdam - Netherlands,,52.52003088,13.10315588,FEWB,Ningbo Tianheng Logistics,2017/12/27,2017/12/28 16:00,2017/12/28 16:00,2018/1/3 11:00,2017/12/31 23:00,,,2018/1/3 11:00,2018/1/22 11:00,t,1322.58,13353.11,13273.06,11788.28,-1484.78
108002,2017/8/24,Air,f,CFS to CFS,Door to Door,FOB,f,598234,543943,24.01742901,114.757429,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.97028901,-116.710314,TPEB,QFS Transportation,2017/8/25,2017/8/27 16:00,2017/8/27 16:00,2017/8/28 07:00,2017/8/28 07:00,,,2017/8/30 07:00,2017/8/30 07:00,t,703.81,7138.92,6957.82,7138.92,181.1
140064,2017/12/15,Air,f,CFS to CFS,Port to Door,FOB,f,598234,543943,24.02098979,114.7547138,HKG - Hong Kong - Hong Kong,AMS - Amsterdam - Netherlands,,52.51965079,13.10277579,FEWB,Ningbo Tianheng Logistics,2017/12/15,2017/12/17 16:00,2017/12/18 12:00,2017/12/19 23:00,2017/12/19 23:00,,,2018/1/2 11:00,2017/12/21 23:00,t,1585.42,15981.56,11461.71,16143.19,4681.48
434664,2018/10/21,Ocean FCL,f,CY to CY,Port to Door,FOB,f,547315,557918,11.82624096,107.598581,"Ho Chi Minh, Vietnam","Hong Kong, Hong Kong",,23.48710996,114.865964,ROW,ASAV Transport,2018/11/5,2018/11/11 05:00,2018/11/10 17:00,2018/11/14 04:00,2018/11/13 03:04,,,2018/11/29 04:00,2018/11/29 04:00,t,422.41,2829.33,2721.04,3375.25,654.21
588260,2019/8/1,Ocean FCL,f,CY to CY,Port to Door,FOB,f,619714,548913,24.80917196,115.755736,"Yantian, China","London Gateway, United Kingdom",,52.30237896,2.163547963,FEWB,Combimar & Agemar,2019/8/30,2019/9/7 12:00,2019/9/7 03:30,2019/10/12 19:00,,,,2019/10/17 11:00,,t,1368.58,13804.32,1007.33,16040.54,15033.21
585744,2019/7/29,Ocean FCL,f,CY to CY,Port to Door,FOB,f,748394,683679,31.26083743,121.1418234,Ningbo,"Los Angeles, CA",,34.79718743,-117.2734006,TPEB,Combimar & Agemar,2019/9/21,2019/9/28 04:00,,2019/10/9 19:00,,,,2019/10/9 19:00,,t,65.66,1440.59,0,1478.32,1478.32
397657,2018/8/24,Ocean FCL,f,CY to CY,Port to Door,FOB,f,693219,654884,31.79997811,121.9939101,"Shanghai, China","Los Angeles, CA",,35.24288211,-117.4165609,TPEB,Combimar & Agemar,2018/9/9,2018/9/16 16:00,2018/9/17 04:00,2018/10/1 19:00,2018/10/2 12:04,,,2018/10/12 17:00,2018/10/12 18:30,t,101.69,2339.3,1913.95,2304.62,390.67
269636,2018/5/4,Air,f,CFS to CFS,Door to Door,EXW,t,644262,543943,23.98571669,121.2130167,TPE - Taipei - Taiwan,LAX - Los Angeles - CA,,34.97076969,-116.7126023,TPEB,Business Express (Delta Connection),2018/5/28,2018/5/30 16:00,2018/5/30 04:38,2018/5/31 07:00,2018/5/30 16:30,,,2018/6/1 07:00,55:57.0,t,2963.79,29951.16,28301.09,30120.41,1819.32
591728,2019/8/7,Ocean FCL,f,CY to CY,Port to Port,FOB,f,649537,546609,32.09647536,122.0411264,"Shanghai, China","Long Beach, California",,34.87773636,-117.0707046,TPEB,British Airways p.l.c.,2019/8/15,2019/8/24 16:00,2019/8/27 04:00,2019/9/11 19:00,2019/9/11 13:08,,,2019/9/21 12:00,2019/9/16 19:00,t,140.85,1536.2,1189.94,1761.93,571.99
163856,2018/2/5,Ocean FCL,f,CY to CY,Port to Port,FOB,f,639362,546609,24.05836798,115.007614,"Yantian, China","Vancouver, Canada","Montreal, QC",,,TPEB,Balkan Bulgarian Airlines,2018/2/9,2018/2/17 17:00,2018/2/20 07:19,2018/3/14 16:00,2018/3/14 13:17,2018/3/27 16:00,2018/3/26 16:00,,,f,288.3,2883.01,3032.17,3115.94,83.77
103509,2017/8/7,Air,f,CFS to CFS,Door to Door,FOB,f,598234,543943,5.195299427,102.9605814,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.96959643,-116.7137756,TPEB,QFS Transportation,2017/8/8,2017/8/8 16:00,2017/8/9 16:00,2017/8/10 07:00,2017/8/9 19:00,,,2017/8/15 02:30,2017/8/14 07:00,t,551.69,5618.11,5489.96,5618.11,128.15
413174,2018/9/11,Air,f,CFS to CFS,Port to Door,FCA,f,598641,543943,23.63705033,115.0251943,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.03594433,-116.9640927,TPEB,QFS Transportation,2018/9/13,2018/9/17 21:30,2018/9/17 21:30,2018/9/18 13:40,2018/9/18 13:40,,,2018/9/20 19:00,56:51.6,t,2811.61,28292.48,25000.9,28312.93,3312.03
520531,2019/4/12,Air,f,CFS to CFS,Port to Door,FOB,f,692696,654884,36.84637446,105.1801115,PVG - Shanghai - China,JFK - New York - NY,,42.51180346,-74.64275754,TPEB,L&D Transport,2019/4/10,2019/4/17 20:56,2019/4/17 20:56,2019/4/18 16:00,2019/4/18 16:00,,,2019/4/22 16:00,2019/4/22 16:00,t,500.92,10309.99,9706.77,11011.83,1305.06
582085,2019/7/23,Ocean FCL,f,CY to CY,Port to Door,FOB,f,754553,730503,31.29466381,121.3330748,"Shanghai, China","Long Beach, California",,34.89073281,-117.3262802,TPEB,G & M TRUCKING LLC,2019/7/22,2019/8/6 01:00,2019/8/7 04:00,2019/8/20 19:00,2019/8/20 22:00,,,2019/9/13 19:00,,t,392.71,4080.51,3251.65,4350.59,1098.94
595721,2019/8/13,Ocean FCL,f,CY to CY,Port to Door,FOB,f,602319,612365,31.02149831,122.1389403,Ningbo,"Prince Rupert, Bc, Canada","Chicago, Illinois",40.50700031,-87.19063669,TPEB,Gabon Airlines Cargo,2019/8/20,2019/8/26 00:00,2019/8/25 13:55,2019/9/7 07:00,2019/9/8 20:20,2019/9/19 17:00,,2019/9/20 17:00,,f,409.93,8198.56,6436.02,8429.88,1993.86
318076,2018/6/21,Air,f,CFS to CFS,Port to Door,FCA,f,680817,654884,46.12590972,125.8092377,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.24046072,-117.4189923,TPEB,Schreiner Airways,2018/6/22,2018/6/23 23:01,2018/6/22 23:01,2018/6/24 05:06,2018/6/24 05:06,,,2018/6/25 07:00,2018/6/25 17:45,t,1843.4,37053.87,37043.23,37053.87,10.64
27061,2016/4/6,Air,f,CFS to CFS,Door to Port,,f,542703,841,25.99502506,122.4454571,TPE - Taipei - Taiwan,JFK - New York - NY,,41.47954606,-73.37973394,TPEB,Business Express (Delta Connection),2016/4/8,2016/4/9 16:00,2016/4/8 19:30,2016/4/10 04:00,2016/4/11 12:20,,,2016/4/12 04:00,,t,76.47,856.91,848.7,1002.14,153.44
598705,2019/8/16,Ocean FCL,f,CY to CY,Port to Port,FOB,f,631676,546609,23.87908697,113.865851,"Yantian, China","Los Angeles, CA",,34.87551597,-117.072925,TPEB,British Airways p.l.c.,2019/9/19,2019/9/27 16:00,,2019/10/12 07:00,,,,2019/10/22 19:00,,t,129.63,1403.89,0,1542.23,1542.23
561973,2019/6/21,Ocean FCL,f,CY to CY,Port to Port,FOB,f,633728,546609,23.75540606,114.2511351,"Yantian, China","Los Angeles, CA",,34.87543006,-117.0730109,TPEB,Aerochago Airlines,2019/7/10,2019/7/19 01:00,2019/7/18 01:19,2019/8/2 01:00,2019/8/2 12:00,,,2019/8/11 12:00,2019/8/7 19:00,t,222.88,2336.36,1933.87,2217.74,283.87
422264,2018/9/27,Air,f,CFS to CFS,Port to Door,FCA,f,598641,543943,23.63549512,115.0236391,HKG - Hong Kong - Hong Kong,AMS - Amsterdam - Netherlands,,52.47028312,13.07479812,FEWB,Ningbo Tianheng Logistics,2018/10/13,2018/10/14 04:00,2018/10/14 04:00,2018/10/16 15:00,2018/10/16 15:00,,,2018/10/22 10:00,2018/10/21 22:00,t,2597.41,26102.29,24849.92,28992.45,4142.53
161973,2018/2/1,Air,f,CFS to CFS,Port to Door,FOB,f,600208,583732,23.3224189,115.1335329,NRT - Tokyo - Japan,"Indianapolis, Indiana",,40.5964739,-85.1238371,TPEB,WEC Lines,2018/3/3,2018/3/8 06:00,2018/3/7 15:00,2018/3/8 05:00,2018/3/7 05:00,,,2018/3/13 16:00,2018/3/13 04:00,t,923.23,9333.8,9971.91,10794.55,822.64
130512,2017/11/13,Air,f,CFS to CFS,Port to Door,FOB,f,598234,543943,24.01643335,114.7501573,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.96744935,-116.7159227,TPEB,QFS Transportation,2017/11/14,2017/11/14 16:00,2017/11/14 16:00,2017/11/15 08:00,2017/11/15 08:00,,,2017/11/17 08:00,2017/11/17 08:00,t,355.08,3652.35,3435.73,3652.35,216.62
530360,2019/4/28,Air,f,CFS to CFS,Port to Door,FOB,f,668561,656536,24.06572965,114.3083387,HKG - Hong Kong - Hong Kong,AMS - Amsterdam - Netherlands,,52.44152265,6.670982653,FEWB,Voltrans Logistics Co.,2019/5/6,2019/5/10 13:00,2019/5/10 12:55,2019/5/12 16:05,2019/5/11 18:08,,,2019/5/15 10:00,2019/5/15 10:00,t,184.26,1842.59,2322.18,2191.19,-130.99
595723,2019/8/13,Ocean FCL,f,CY to CY,Port to Door,FOB,f,602319,612365,31.01969774,122.1371397,Ningbo,"Vancouver, Canada","Chicago, Illinois",40.50519974,-87.19243726,TPEB,Combimar & Agemar,2019/8/22,2019/9/3 04:00,2019/9/2 14:42,2019/9/15 19:00,2019/9/14 22:14,2019/9/22 17:00,,2019/9/26 17:00,,f,245.02,4900.3,0,5135.83,5135.83
103463,2017/8/7,Air,f,CFS to CFS,Port to Door,FOB,f,600208,583732,23.30103389,115.1620729,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.96287189,-117.1756971,TPEB,Singapore Airlines Cargo Pte. Ltd.,2017/8/9,2017/8/9 16:00,2017/8/9 20:00,2017/8/10 07:00,2017/8/10 08:55,,,2017/8/14 07:00,2017/8/14 07:00,t,716.07,7262.3,7359.35,7922.9,563.55
530362,2019/4/28,Ocean FCL,f,CY to CY,Port to Door,FOB,f,689518,654884,24.04034009,113.4842251,"Yantian, China","Long Beach, California",,35.23846209,-117.4209809,TPEB,British Airways p.l.c.,2019/5/7,2019/5/13 00:00,2019/5/11 15:43,2019/5/26 19:00,2019/5/27 06:29,,,2019/5/31 19:00,2019/5/31 21:00,t,171.65,3612.91,3367.43,4198.48,831.05
565682,2019/6/26,Ocean FCL,f,CY to CY,Door to Door,EXW,f,694753,654884,25.12920168,121.6551137,Keelung,"Los Angeles, CA",,35.22033368,-117.6197323,TPEB,Combimar & Agemar,2019/6/30,2019/7/10 03:00,2019/7/10 16:00,2019/7/23 11:00,2019/7/23 11:04,,,2019/7/26 12:00,2019/7/26 16:30,t,140.61,3045.03,3226.53,3546.14,319.61
380719,2018/8/13,Ocean FCL,f,CY to CY,Door to Door,EXW,t,644262,543943,23.98115125,121.2084512,"Kaohsiung, Taiwan","Los Angeles, CA",,35.03255625,-116.9674808,TPEB,Combimar & Agemar,2018/8/27,2018/9/3 16:00,2018/9/3 22:00,2018/9/17 07:00,2018/9/17 21:04,,,2018/9/24 19:00,2018/9/24 23:17,t,377.87,3955.69,3950.26,4260.76,310.5
224132,2018/3/14,Ocean FCL,f,CY to CY,Port to Port,FOB,f,631676,546609,23.87860468,113.8525717,"Yantian, China","Los Angeles, CA",,34.87334968,-117.0750913,TPEB,Gabon Airlines Cargo,2018/9/30,2018/10/7 16:00,2018/10/6 16:00,2018/10/23 07:00,2018/10/23 07:00,,,2018/11/2 19:00,2018/10/29 07:00,f,234.38,2343.81,2412.69,2364.37,-48.32
433954,2018/10/19,Air,f,CFS to CFS,Port to Door,FOB,f,598234,543943,33.3850129,108.3166959,HKG - Hong Kong - Hong Kong,AMS - Amsterdam - Netherlands,,52.4680979,13.0726129,FEWB,QFS Transportation,2018/10/20,,2018/10/25 16:12,2018/10/26 04:18,2018/10/26 04:18,,,2018/10/30 11:00,2018/10/29 23:00,t,1009,10218.53,10429.82,11469.59,1039.77
